control_id,control_name,control_type,calculated_value,threshold,threshold_operator,status,breach_amount,details
EXP_GROSS_001,Gross Exposure,exposure,155.20,200.00,lte,pass,,"{""long_mv"": 2689625000, ""short_mv"": 411550000, ""nav"": 2000000000}"
EXP_NET_001,Net Exposure,exposure,113.90,100.00,lte,fail,13.90,"{""long_mv"": 2689625000, ""short_mv"": 411550000, ""nav"": 2000000000, ""breach_severity"": ""major""}"
EXP_NET_WARN,Net Exposure Warning Check,exposure,113.90,90.00,lte,fail,23.90,"{""triggered_warning_escalation"": true}"
EXP_LONG_001,Long Exposure,exposure,134.48,150.00,lte,pass,,"{""long_mv"": 2689625000, ""nav"": 2000000000}"
EXP_SHORT_001,Short Exposure,exposure,20.58,50.00,lte,pass,,"{""short_mv"": 411550000, ""nav"": 2000000000}"
POS_SINGLE_MSFT,Single Position Limit - MSFT,position,10.92,10.00,lte,fail,0.92,"{""ticker"": ""MSFT"", ""market_value"": 218400000, ""nav"": 2000000000, ""breach_severity"": ""minor""}"
POS_SINGLE_AAPL,Single Position Limit - AAPL,position,8.93,10.00,lte,pass,,"{""ticker"": ""AAPL"", ""market_value"": 178500000, ""nav"": 2000000000}"
POS_SINGLE_NVDA,Single Position Limit - NVDA,position,7.84,10.00,lte,pass,,"{""ticker"": ""NVDA"", ""market_value"": 156800000, ""nav"": 2000000000}"
POS_SINGLE_JPM,Single Position Limit - JPM,position,7.14,10.00,lte,pass,,"{""ticker"": ""JPM"", ""market_value"": 142800000, ""nav"": 2000000000}"
CONC_SECTOR_TECH,Sector Concentration - Technology,concentration,28.93,30.00,lte,warning,,"{""sector"": ""Technology"", ""total_mv"": 578700000, ""nav"": 2000000000, ""approaching_limit"": true}"
CONC_SECTOR_FIN,Sector Concentration - Financials,concentration,14.85,30.00,lte,pass,,"{""sector"": ""Financials"", ""total_mv"": 297050000, ""nav"": 2000000000}"
CONC_SECTOR_HC,Sector Concentration - Healthcare,concentration,14.26,30.00,lte,pass,,"{""sector"": ""Healthcare"", ""total_mv"": 285220000, ""nav"": 2000000000}"
CONC_SECTOR_CD,Sector Concentration - Consumer Discretionary,concentration,12.25,30.00,lte,pass,,"{""sector"": ""Consumer Discretionary"", ""total_mv"": 244950000, ""nav"": 2000000000}"
CONC_SECTOR_IND,Sector Concentration - Industrials,concentration,10.20,30.00,lte,pass,,"{""sector"": ""Industrials"", ""total_mv"": 204300000, ""nav"": 2000000000}"
CONC_SECTOR_EN,Sector Concentration - Energy,concentration,8.37,30.00,lte,pass,,"{""sector"": ""Energy"", ""total_mv"": 167450000, ""nav"": 2000000000}"
CONC_SECTOR_COMM,Sector Concentration - Communication Services,concentration,8.71,30.00,lte,pass,,"{""sector"": ""Communication Services"", ""total_mv"": 174130000, ""nav"": 2000000000}"
CONC_ISSUER_MSFT,Issuer Concentration - Microsoft Corporation,concentration,10.92,10.00,lte,fail,0.92,"{""issuer"": ""Microsoft Corporation"", ""securities"": [""MSFT""], ""total_mv"": 218400000, ""breach_severity"": ""minor""}"
CONC_ISSUER_AAPL,Issuer Concentration - Apple Inc,concentration,8.93,10.00,lte,pass,,"{""issuer"": ""Apple Inc"", ""securities"": [""AAPL""], ""total_mv"": 178500000}"
CONC_ISSUER_NVDA,Issuer Concentration - NVIDIA Corporation,concentration,7.84,10.00,lte,pass,,"{""issuer"": ""NVIDIA Corporation"", ""securities"": [""NVDA""], ""total_mv"": 156800000}"
CONC_GEO_US,Geographic Concentration - United States,geographic,78.50,100.00,lte,pass,,"{""country"": ""US"", ""total_mv"": 1570000000}"
CONC_GEO_EM,Emerging Markets Total,geographic,4.20,25.00,lte,pass,,"{""countries"": [""CN"", ""TW"", ""BR""], ""total_mv"": 84050000}"
CONC_GEO_CN,Geographic Concentration - China,geographic,2.16,50.00,lte,pass,,"{""country"": ""CN"", ""total_mv"": 43200000}"
LIQ_T1_001,T+1 Liquidity,liquidity,18.50,10.00,gte,pass,,"{""liquid_mv"": 370000000, ""nav"": 2000000000, ""bucket"": ""same/next day""}"
LIQ_T3_001,T+3 Liquidity,liquidity,32.00,25.00,gte,pass,,"{""liquid_mv"": 640000000, ""nav"": 2000000000, ""bucket"": ""within 3 days""}"
LIQ_T7_001,T+7 Liquidity,liquidity,38.00,40.00,gte,warning,2.00,"{""liquid_mv"": 760000000, ""nav"": 2000000000, ""bucket"": ""within 1 week"", ""shortfall"": 40000000}"
LIQ_T30_001,T+30 Liquidity,liquidity,72.00,60.00,gte,pass,,"{""liquid_mv"": 1440000000, ""nav"": 2000000000, ""bucket"": ""within 1 month""}"
LIQ_T90_001,T+90 Liquidity,liquidity,95.00,80.00,gte,pass,,"{""liquid_mv"": 1900000000, ""nav"": 2000000000, ""bucket"": ""within 1 quarter""}"
